	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
278	N-Oleoylsarcosine	0.22958404248860387	0.17799232529017858	0.5839327364861057	0.00018494272922224656	0.3497625453549038	0.0005429918529965159
33	Phenacylamine	0.12363080104761946	0.4725297926667035	0.5817154238289314	0.000198321182085494	0.6106282884108457	0.0005776497922648912
48	Vitamin L2	0.4823151692109498	0.0028923665363389623	0.5795635489826623	0.00021212779414619113	0.03660339720125514	0.0006129992161547413
207	13-oxooctadeca-9,11-dienoic acid	0.24359751148208522	0.15223738502495826	0.5792972666261345	0.0002138948233789556	0.33188936513527006	0.0006132765639068493
164	N-(3-aminopropyl)octadec-9-enamide	0.4523037433188519	0.0056126994623537305	0.5753159228635857	0.00024193459275764212	0.057038040302923206	0.0006882945390856949
32	Tyrosine	0.1530049576950925	0.37298675252505786	0.572128260382531	0.0002667095648676972	0.5112834376506178	0.0007529416177418837
229	n-Linoleoyl tyrosine	0.22898716072107	0.17915408249197878	0.568566085525945	0.00029705980227098295	0.3497625453549038	0.0008322209727744332
97	5-Ethyl-2,3-dimethylpyrazine	0.19870884890903145	0.24531390168604442	0.5603801740508763	0.0003787978372726581	0.39143566051642736	0.0010469790623316322
6	Glutamin	0.21377015605655755	0.21061119324735528	0.5603239120356357	0.0003794229299457959	0.3633809336733377	0.0010469790623316322
174	Palmitoylethanolamide	0.07773616281509341	0.6522495316676957	0.558556824161588	0.0003995302266733905	0.7672294170578344	0.0010942357700681664
43	DL-Phenylalanine (Sabiden)	0.2964381799214223	0.07916370463114486	0.5488149824158893	0.0005284026622941005	0.2399574134244914	0.001419180671510037
192	N-(2-hydroxyethyl)nonadecanamide	0.22492396489256825	0.18720589079232336	0.5489492426090263	0.0005264011019948794	0.3497625453549038	0.001419180671510037
319	tert-butyl N-[1-[[1-[(1-cyclohexyl-3-oxopropan-2-yl)amino]-1-oxopropan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]carbamate	0.3323327410082778	0.047668194683208535	0.5487231306400407	0.0005297758909996596	0.19598487377240045	0.001419180671510037
332	10-(3-octyloxiran-2-yl)decanoic acid	0.2680675518826484	0.11394012358310446	0.5461451132384287	0.0005696362442075766	0.2956021423316195	0.0015140377294392538
70	2-(4-aminoanilino)propanoate	0.2012984270157516	0.23909024167469098	0.5459077676038574	0.0005734366332208618	0.3899827497538293	0.0015140377294392538
0	Lysinium	0.1281458862692647	0.4563809225246214	0.536971087224226	0.0007339760911988694	0.596056222656712	0.001924065896214179
341	N-(2-Phenylethyl)hexadecanamide	0.7517199837931728	1.2618350273635603e-07	0.5363614955365646	0.0007462534353644064	2.315467275212133e-05	0.001942375962969767
77	2-Vinylquinoline	0.029056498522232497	0.8664089419691889	0.5356301680402474	0.0007612224793889881	0.9185552128210261	0.0019646305887426494
373	Lecithin	-0.3317803458696957	0.048061685666256244	-0.5354230445502309	0.0007655100114174355	0.19598487377240045	0.0019646305887426494
172	Ethyl 3-oxo-2-pentylcyclopentane-1-carboxylate	0.20210355844441602	0.23717710643741052	0.5312409721866417	0.0008567825738662175	0.38858927706486457	0.002183605587561818
256	(1-(tert-Butoxycarbonyl)-4-(ethoxycarbonyl)-1H-indol-2-yl)boronic acid	0.24479295859145078	0.15017301117891074	0.530244108919352	0.0008799109021492252	0.33188936513527006	0.0022270848350949357
167	Linoleamide 	0.5121546698350804	0.0014071524211994495	0.5293608586448912	0.0009008630341331158	0.024290731524021236	0.0022644981748414623
221	9-Octadecen-16-ynoic acid	0.29999968018267337	0.07545750717288682	0.5289210050996829	0.0009114607344102437	0.23271348850797868	0.0022755516294459825
212	1-oleoyl-sn-glycero-3-phosphoserine	0.4095518670708161	0.013120842148237109	0.5271889115397578	0.0009542731717676478	0.10031977225839624	0.0023663395543157212
335	cis-11-Eicosenamide	0.31204802334164133	0.06391396558221893	0.5261316327180761	0.000981271157624274	0.22339452732070805	0.0024169564754906617
187	(5Z,9E)-6,10,14-trimethylpentadeca-5,9,13-trien-1-yne	0.3097631957134157	0.06598863860139041	0.5250728593024198	0.0010089815157185045	0.226334863240283	0.0024686414417912743
31	Isonicotinamide	0.40120209100762166	0.015303325579982768	0.5233779717553055	0.0010547807599126835	0.10620431745513338	0.0025467403874207557
366	PE(18:3(9Z,12Z,15Z)	-0.21318626428768664	0.21188969974412603	-0.523501259477236	0.0010513884344941814	0.3633809336733377	0.0025467403874207557
272	2-Dodecyl-1H-quinolin-4-one	0.08055714777735515	0.6404675410846858	0.5220053704557013	0.001093206499033822	0.7557928861031502	0.002622266569577861
188	Farnesyl acetone	0.30733592290390066	0.06825032868095776	0.5160494329988189	0.0012746304666990758	0.22800658163435658	0.0030375933849257197
2	Arginine	0.15608478441833246	0.363325498625132	0.5109897379623479	0.0014490767112176023	0.505077492406907	0.003431039696882968
20	O-acetyl-L-carnitine	0.016711244764935525	0.9229364655016103	0.5089842837317264	0.0015238286217241135	0.9408824523308082	0.0035849045139278823
